Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
3,Arizona,62.9,3365,6.8,21,14,85.1,210
27,Atlanta,64.4,4267,6.9,31,12,92.5,267
8,Baltimore,63.8,3724,6.8,28,18,86.9,233
5,Buffalo,59.9,3582,7.5,19,12,85.9,224
28,Carolina,66.8,4291,7.5,27,17,92.0,268
6,Chicago,64.5,3598,7.2,22,8,93.5,225
10,Cincinnati,63.1,3800,6.7,22,17,83.1,238
20,Cleveland,63.9,3996,7.7,36,10,101.8,250
25,Dallas,67.1,4167,6.9,25,9,94.1,260
0,Denver,55.4,2972,5.8,13,14,69.7,186
18,Detroit,72.7,3975,7.5,33,10,106.5,248
30,Green Bay,64.8,4308,8.1,32,17,95.9,269
1,Houston,61.1,3226,6.6,20,11,84.3,202
26,Indianapolis,64.9,4200,7.6,27,8,97.5,263
4,Jacksonville,62.6,3444,6.6,20,7,88.5,215
17,Kansas City,58.5,3958,6.9,23,18,79.8,247
19,LA Chargers,62.8,3987,7.3,21,18,83.8,249
9,LA Rams,64.9,3732,6.7,32,10,95.5,233
14,Miami,62.3,3875,6.9,30,16,88.5,242
2,Minnesota,60.6,3327,6.6,22,14,83.0,208
22,NY Giants,58.6,4018,6.8,15,17,75.8,251
16,NY Jets,63.7,3898,7.5,30,8,98.5,244
11,New England,61.7,3806,6.8,21,13,84.4,238
31,New Orleans,64.9,4380,7.9,27,9,98.1,274
23,Oakland,60.6,4120,7.9,27,16,89.8,258
12,Philadelphia,60.2,3832,7.3,25,16,85.7,240
15,Pittsburgh,64.6,3882,7.0,20,13,87.3,243
13,San Francisco,61.8,3848,7.7,30,10,96.9,241
7,Seattle,61.6,3612,7.2,16,11,85.0,226
21,Tampa Bay,63.3,4012,7.7,24,17,88.8,251
29,Tennessee,61.1,4307,7.2,25,12,88.3,269
24,Washington,65.7,4130,7.4,22,13,91.1,258
