Tm,ReYds,Average,TD,ReYds/G
2,Arizona,3441,12.7,20,215.1
22,Atlanta,4060,12.0,14,253.8
16,Baltimore,3900,11.6,15,243.8
7,Buffalo,3669,12.0,25,229.3
13,Carolina,3852,10.4,22,240.8
9,Chicago,3712,10.6,19,232.0
10,Cincinnati,3761,10.9,16,235.1
23,Cleveland,4156,11.0,27,259.8
15,Dallas,3895,12.2,22,243.4
5,Denver,3558,11.1,25,222.4
12,Detroit,3806,11.0,26,237.9
11,Green Bay,3801,12.1,24,237.6
14,Houston,3881,12.6,29,242.6
21,Indianapolis,3977,11.9,23,248.6
20,Jacksonville,3960,11.6,21,247.5
8,Kansas City,3694,13.2,29,230.9
17,LA Chargers,3925,11.3,28,245.3
18,LA Rams,3927,10.8,16,245.4
26,Miami,4216,11.9,18,263.5
24,Minnesota,4192,10.7,28,262.0
27,NY Giants,4299,12.6,26,268.7
1,NY Jets,3206,12.1,20,200.4
28,New England,4555,12.3,27,284.7
30,New Orleans,4875,13.2,31,304.7
19,Oakland,3960,11.4,28,247.5
6,Philadelphia,3668,12.6,33,229.3
0,Pittsburgh,3159,10.6,19,197.4
3,San Francisco,3473,10.3,19,217.1
4,Seattle,3497,10.7,15,218.6
31,Tampa Bay,4951,12.1,30,309.4
25,Tennessee,4205,11.2,31,262.8
29,Washington,4720,12.0,31,295.0
