Tm,Yds,Average,TD,Yds/G
31,Arizona,2735,10.3,14,182.3
3,Atlanta,4566,11.5,33,304.4
21,Baltimore,3529,11.0,18,235.3
30,Buffalo,2858,11.3,10,190.5
17,Carolina,3803,10.6,26,253.5
19,Chicago,3584,11.0,28,238.9
23,Cincinnati,3474,10.9,27,231.6
15,Cleveland,3885,11.8,26,259.0
22,Dallas,3498,10.6,18,233.2
18,Denver,3638,10.8,18,242.5
20,Detroit,3570,10.1,19,238.0
5,Green Bay,4471,12.0,25,298.1
14,Houston,3931,12.3,26,262.1
6,Indianapolis,4310,10.6,36,287.3
24,Jacksonville,3324,10.6,15,221.6
2,Kansas City,4816,13.1,48,321.1
10,LA Chargers,4140,12.4,31,276.0
4,LA Rams,4508,12.8,28,300.5
28,Miami,3159,11.6,25,210.6
8,Minnesota,4166,10.3,29,277.7
11,NY Giants,4104,11.5,21,273.6
26,NY Jets,3237,11.4,18,215.8
9,New England,4155,11.7,25,277.0
12,New Orleans,4056,11.1,32,270.4
16,Oakland,3872,10.8,19,258.1
7,Philadelphia,4281,10.9,26,285.4
1,Pittsburgh,4887,11.4,34,325.8
13,San Francisco,3965,12.9,23,264.3
25,Seattle,3296,12.3,34,219.7
0,Tampa Bay,5013,13.0,32,334.2
29,Tennessee,3090,11.2,15,206.0
27,Washington,3189,10.7,16,212.6
