Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,PAtt,PYds,PTD,Int,NY/A,P1stD,RAtt,RYds,RTD,RY/A,1stD,Pen,OPenYds,1stPy,Sc%,OTO%,EXP
Arizona Cardinals,14,192,3404,785,4.3,26,8,212,247,430,2251,13,18,4.8,123,313,1153,9,3.7,66,91,712,23,18.2,15.8,-134.92
Atlanta Falcons,14,356,5310,886,6.0,15,9,309,381,546,4040,30,6,6.9,211,300,1270,10,4.2,71,88,773,27,43.1,10.4,130.70
Baltimore Ravens,14,341,5175,1002,5.2,18,9,328,308,510,3189,17,9,5.9,170,465,1986,17,4.3,131,102,835,27,40.5,11.1,84.54
Buffalo Bills,14,215,4108,889,4.6,28,8,246,234,432,2362,9,20,5.0,118,417,1746,12,4.2,94,110,939,34,25.5,15.8,-101.01
Carolina Panthers,14,333,5162,859,6.0,18,5,302,323,476,3278,25,13,6.5,183,354,1884,15,5.3,98,80,722,21,37.1,11.3,108.25
Chicago Bears,14,383,4845,890,5.4,22,8,294,301,457,3166,27,14,6.5,158,403,1679,12,4.2,94,82,664,42,37.7,13.6,75.77
Cincinnati Bengals,14,337,4567,847,5.4,17,4,280,306,500,3112,25,13,5.9,171,317,1455,13,4.6,80,102,857,29,36.5,10.8,55.24
Cleveland Browns,14,309,4981,901,5.5,21,7,273,302,494,3284,23,14,6.2,159,369,1697,15,4.6,84,102,802,30,29.8,11.0,4.57
Dallas Cowboys,14,276,4850,902,5.4,16,8,283,309,458,3018,17,8,5.9,157,393,1832,11,4.7,103,88,773,23,37.4,10.9,41.82
Denver Broncos,14,306,4932,879,5.6,15,3,282,313,503,3207,16,12,6.0,158,344,1725,18,5.0,96,103,795,28,32.7,9.3,35.23
Detroit Lions,14,284,4611,878,5.3,19,7,283,331,498,3167,19,12,5.9,175,343,1444,10,4.2,81,84,763,27,35.1,12.6,35.94
Green Bay Packers,14,332,5190,891,5.8,13,10,288,336,545,3696,23,3,6.3,184,300,1494,11,5.0,86,93,813,18,39.4,6.5,94.17
Houston Texans,14,352,5089,903,5.6,14,5,285,291,431,3264,24,9,6.8,172,420,1825,8,4.3,82,93,711,31,40.5,8.6,75.24
Indianapolis Colts,14,372,5341,934,5.7,21,8,320,377,562,3830,34,13,6.6,203,356,1511,10,4.2,83,102,828,34,40.9,13.2,105.79
Jacksonville Jaguars,14,225,4469,896,5.0,26,14,252,297,484,2902,15,12,5.5,152,368,1567,6,4.3,82,93,947,18,26.6,16.5,-74.75
Kansas City Chiefs,14,499,5981,882,6.8,15,4,344,346,516,4379,45,11,8.1,212,341,1602,14,4.7,95,125,1027,37,53.0,9.9,241.76
Los Angeles Chargers,14,395,5488,833,6.6,12,4,307,311,451,3782,31,8,7.9,193,353,1706,14,4.8,93,99,847,21,46.6,7.5,195.98
Los Angeles Rams,14,448,5900,922,6.4,18,6,340,332,515,4093,27,12,7.5,212,376,1807,19,4.8,104,84,755,24,47.5,10.5,181.27
Miami Dolphins,14,295,4230,774,5.5,17,7,224,258,401,2653,24,10,5.9,136,328,1577,7,4.8,65,94,848,23,30.2,10.5,-7.81
Minnesota Vikings,14,323,5025,893,5.6,20,10,282,384,545,3695,26,10,6.4,201,314,1330,9,4.2,59,78,671,22,32.5,12.0,17.68
New England Patriots,14,374,5530,936,5.9,15,6,321,341,516,3897,24,9,7.3,188,401,1633,16,4.1,107,84,665,26,41.8,8.9,140.77
New Orleans Saints,14,459,5403,898,6.0,14,9,336,340,457,3619,31,5,7.7,186,425,1784,22,4.2,120,79,754,30,54.4,9.5,203.49
New York Giants,14,307,4864,855,5.7,16,6,255,333,509,3440,20,10,6.2,179,300,1424,9,4.7,59,97,849,17,36.5,9.0,44.55
New York Jets,14,292,4171,858,4.9,27,8,222,259,461,2707,15,19,5.5,131,366,1464,10,4.0,75,94,746,16,32.2,14.9,-83.96
Oakland Raiders,14,260,4814,874,5.5,20,12,264,339,498,3427,19,8,6.3,178,328,1387,7,4.2,71,100,893,15,32.1,12.8,2.02
Philadelphia Eagles,14,311,4966,893,5.6,19,10,296,358,515,3582,22,9,6.5,188,342,1384,12,4.0,80,84,722,28,36.8,11.6,61.14
Pittsburgh Steelers,14,384,5681,921,6.2,23,7,334,395,594,4366,31,16,7.1,217,307,1315,16,4.3,81,96,877,36,36.3,14.4,154.67
San Francisco 49ers,14,301,5099,891,5.7,27,11,307,286,461,3371,23,16,6.7,177,386,1728,6,4.5,89,101,896,41,36.9,16.3,23.14
Seattle Seahawks,14,363,4898,876,5.6,10,4,282,250,377,2730,31,6,6.5,134,457,2168,11,4.7,114,107,929,34,39.4,6.5,106.71
Tampa Bay Buccaneers,14,344,5832,924,6.3,32,7,339,352,542,4464,31,25,7.7,230,345,1368,10,4.0,75,105,873,34,35.8,19.8,111.71
Tennessee Titans,14,268,4449,838,5.3,15,5,258,258,383,2618,14,10,6.1,139,411,1831,14,4.5,94,71,642,25,35.4,10.2,16.10
Washington Redskins,14,265,4414,864,5.1,16,4,255,285,458,2822,15,12,5.7,141,368,1592,12,4.3,88,105,944,26,32.7,10.5,-15.24
