Winner,Loser
Washington Redskins,Tennessee Titans
Baltimore Ravens,Los Angeles Chargers
Minnesota Vikings,Detroit Lions
Houston Texans,Philadelphia Eagles
New York Giants,Indianapolis Colts
Atlanta Falcons,Carolina Panthers
Jacksonville Jaguars,Miami Dolphins
Cincinnati Bengals,Cleveland Browns
Buffalo Bills,New England Patriots
Tampa Bay Buccaneers,Dallas Cowboys
Green Bay Packers,New York Jets
Chicago Bears,San Francisco 49ers
Los Angeles Rams,Arizona Cardinals
Pittsburgh Steelers,New Orleans Saints
Kansas City Chiefs,Seattle Seahawks
Denver Broncos,Oakland Raiders
